user_id,role,access_time,patients_accessed,session_duration,label
141,nurse,01:08,3,436,1
217,nurse,07:01,3,201,0
288,doctor,10:45,6,419,0
143,nurse,06:48,4,447,0
111,doctor,19:21,1,107,0
177,doctor,16:16,1,295,0
194,nurse,08:35,6,514,0
186,nurse,12:45,3,113,0
41,nurse,13:55,3,284,0
187,doctor,09:23,3,167,0
37,nurse,11:34,5,173,0
286,nurse,13:43,7,521,0
17,nurse,18:17,16,832,1
162,admin,11:41,4,247,0
74,nurse,14:08,5,471,0
300,nurse,19:57,8,275,0
261,doctor,14:05,1,116,0
217,doctor,16:04,4,255,0
129,nurse,06:43,3,439,0
175,nurse,09:18,8,170,0
135,nurse,22:48,4,349,0
153,admin,18:32,2,123,0
272,doctor,07:38,3,310,0
158,doctor,10:03,2,350,0
249,admin,04:49,2,110,1
85,nurse,14:33,8,583,0
103,doctor,18:19,4,403,0
265,nurse,20:07,5,205,0
284,doctor,04:14,1,96,1
35,nurse,02:04,10,211,1
277,doctor,09:46,5,355,0
209,nurse,12:06,3,427,0
240,doctor,18:03,6,394,0
207,admin,13:51,8,1718,1
72,doctor,13:11,3,296,0
227,doctor,19:55,5,110,0
8,doctor,08:59,2,145,0
206,doctor,07:10,4,61,0
233,admin,12:27,4,124,0
30,doctor,16:47,5,91,0
300,nurse,22:58,45,722,1
96,doctor,08:38,1,405,0
292,nurse,13:37,2,407,0
290,doctor,15:20,3,164,0
136,nurse,18:08,6,324,0
38,doctor,07:29,5,348,0
110,admin,12:08,16,981,1
81,nurse,20:53,10,450,0
271,doctor,07:42,5,213,0
69,admin,12:07,1,124,0
176,doctor,10:43,6,195,0
27,nurse,08:40,8,514,0
67,doctor,11:10,19,2959,1
58,nurse,08:56,4,369,0
283,doctor,09:27,2,81,0
21,doctor,12:13,6,187,0
287,nurse,19:39,4,563,0
91,admin,14:01,2,215,0
128,nurse,14:10,3,285,0
114,nurse,12:52,9,269,0
117,doctor,10:01,6,158,0
36,doctor,19:17,3,388,0
275,nurse,16:01,3,539,0
136,admin,08:06,4,221,0
262,nurse,09:24,5,220,0
267,doctor,19:34,6,403,0
170,doctor,16:20,6,123,0
159,nurse,19:20,8,446,0
216,doctor,17:24,6,149,0
281,nurse,06:19,6,197,0
165,doctor,14:28,4,405,0
87,doctor,17:05,3,323,0
48,nurse,13:43,6,205,0
24,nurse,13:30,3,323,0
100,doctor,18:44,4,313,0
3,doctor,19:55,1,277,0
266,doctor,14:03,5,187,0
69,admin,15:42,3,271,0
259,nurse,19:53,10,318,0
244,nurse,20:16,5,520,0
267,nurse,21:40,5,230,0
121,doctor,11:21,3,336,0
197,doctor,18:09,6,169,0
278,doctor,14:26,1,165,0
300,nurse,06:54,8,334,0
200,doctor,13:34,6,339,0
250,nurse,13:17,8,338,0
208,doctor,18:10,4,125,0
202,admin,17:36,1,87,0
237,nurse,11:03,6,284,0
173,doctor,19:56,4,202,0
130,nurse,08:30,2,473,0
180,nurse,13:41,3,489,0
16,admin,01:53,1,123,1
59,doctor,16:13,4,418,0
59,doctor,19:52,2,219,0
160,doctor,17:58,17,2324,1
125,admin,09:44,3,106,0
22,nurse,17:34,8,428,0
175,doctor,07:54,4,310,0
236,doctor,18:09,4,150,0
139,nurse,21:29,8,512,0
126,nurse,08:17,9,214,0
195,nurse,16:01,9,525,0
182,doctor,19:16,3,203,0
142,nurse,06:33,5,133,0
285,doctor,19:15,6,303,0
9,nurse,08:18,5,297,0
298,nurse,17:30,10,361,0
282,doctor,12:22,6,292,0
62,doctor,18:12,3,121,0
95,nurse,12:13,9,231,0
269,nurse,15:06,5,241,0
8,doctor,18:34,2,200,0
150,doctor,09:40,20,1120,1
241,nurse,21:28,7,184,0
245,admin,09:52,1,250,0
28,nurse,10:09,6,133,0
214,admin,17:38,2,239,0
220,nurse,15:36,2,402,0
107,admin,11:16,7,1343,1
81,doctor,07:26,4,412,0
119,nurse,15:45,6,449,0
120,nurse,12:27,19,1515,1
137,doctor,09:04,1,144,0
292,nurse,15:28,3,329,0
140,nurse,22:34,9,314,0
222,doctor,12:38,13,805,1
295,doctor,16:01,6,197,0
90,nurse,21:33,9,559,0
224,doctor,17:52,4,106,0
165,nurse,09:54,4,258,0
206,doctor,19:35,1,292,0
60,doctor,19:25,5,60,0
212,nurse,07:12,10,275,0
227,nurse,07:13,6,371,0
249,doctor,08:01,6,371,0
160,nurse,06:35,8,137,0
59,doctor,14:07,6,138,0
261,nurse,14:26,9,591,0
75,nurse,18:12,10,472,0
142,nurse,19:21,10,226,0
153,nurse,21:55,4,318,0
283,nurse,18:29,7,535,0
293,doctor,13:14,4,82,0
196,doctor,13:42,6,137,0
258,nurse,16:55,8,2503,1
8,doctor,18:09,4,395,0
136,admin,17:44,20,564,1
274,nurse,18:20,9,536,0
121,nurse,15:14,3,312,0
52,admin,15:10,3,59,0
151,doctor,12:23,4,134,0
93,doctor,09:11,1,372,0
124,nurse,21:58,4,208,0
131,nurse,06:57,9,551,0
38,doctor,14:22,5,213,0
129,nurse,20:54,6,191,0
55,admin,11:24,3,196,0
203,admin,12:00,1,299,0
118,nurse,17:14,5,407,0
71,doctor,17:06,6,390,0
18,doctor,16:23,6,127,0
213,doctor,09:12,2,336,0
257,nurse,14:53,4,221,0
152,admin,13:51,1,284,0
116,admin,18:46,4,232,0
136,doctor,15:07,4,248,0
300,nurse,18:52,7,145,0
288,nurse,16:58,5,421,0
155,doctor,17:26,1,131,0
253,doctor,00:15,5,129,1
277,doctor,13:37,6,139,0
251,nurse,19:17,2,443,0
121,doctor,12:06,6,248,0
184,nurse,07:25,6,187,0
233,admin,09:42,2,55,0
65,doctor,19:36,2,95,0
111,nurse,13:21,4,493,0
75,admin,04:16,2,101,1
8,nurse,13:37,32,432,1
216,doctor,08:47,7,2650,1
56,doctor,14:32,2,374,0
267,doctor,11:29,6,75,0
206,doctor,13:43,1,311,0
42,nurse,16:38,4,123,0
300,doctor,15:45,3,255,0
233,admin,16:38,4,95,0
283,nurse,12:27,9,544,0
233,doctor,13:26,6,108,0
131,doctor,12:09,6,302,0
48,doctor,13:06,6,250,0
288,nurse,16:42,3,300,0
217,doctor,18:03,3,367,0
260,doctor,10:09,6,306,0
285,doctor,12:07,3,353,0
288,doctor,19:52,5,374,0
137,nurse,06:11,6,449,0
180,nurse,06:11,4,379,0
16,nurse,23:33,5,282,1
190,doctor,11:46,3,350,0
80,nurse,11:48,2,435,0
218,doctor,14:38,4,272,0
59,doctor,12:27,1,205,0
270,nurse,15:02,5,292,0
105,admin,11:49,12,923,1
255,doctor,18:27,2,126,0
257,doctor,15:53,6,241,0
22,doctor,13:01,4,99,0
294,nurse,18:45,8,238,0
167,doctor,04:29,6,245,1
125,doctor,13:37,4,328,0
174,doctor,10:21,2,99,0
262,nurse,12:57,7,269,0
76,nurse,13:06,4,221,0
39,doctor,09:49,6,312,0
297,nurse,20:43,7,532,0
226,admin,09:30,4,200,0
181,nurse,22:04,6,326,0
147,nurse,23:55,3,404,1
298,nurse,07:28,5,254,0
32,nurse,20:06,7,592,0
89,nurse,07:15,9,597,0
82,doctor,12:23,3,258,0
27,doctor,19:40,6,231,0
198,doctor,11:46,21,1082,1
180,doctor,11:41,6,399,0
44,doctor,11:35,4,389,0
270,nurse,08:41,8,350,0
93,doctor,10:21,4,158,0
40,doctor,11:54,1,319,0
270,nurse,07:42,7,538,0
193,nurse,10:10,4,515,0
85,nurse,20:02,8,276,0
228,nurse,15:48,9,209,0
241,nurse,12:23,9,326,0
258,nurse,22:26,4,508,0
129,doctor,07:41,4,250,0
265,nurse,09:18,3,480,0
263,doctor,09:53,4,106,0
231,admin,13:59,1,257,0
121,doctor,13:05,3,174,0
172,doctor,19:09,2,79,0
72,doctor,19:45,4,289,0
10,nurse,14:13,4,370,0
217,admin,09:49,3,166,0
215,doctor,19:39,19,957,1
275,doctor,07:40,5,354,0
220,doctor,07:39,3,183,0
44,nurse,22:23,3,578,0
260,nurse,06:24,9,112,0
130,nurse,06:22,3,266,0
54,doctor,19:37,6,230,0
174,doctor,17:11,6,297,0
94,admin,10:04,4,63,0
103,doctor,02:59,3,323,1
243,doctor,11:02,6,157,0
25,doctor,17:21,3,123,0
205,nurse,20:57,8,263,0
255,admin,13:59,3,87,0
93,nurse,15:20,8,1027,1
229,doctor,16:45,4,145,0
22,nurse,17:39,8,230,0
30,nurse,08:42,8,276,0
82,nurse,06:09,9,107,0
188,doctor,12:24,5,76,0
190,nurse,17:28,3,383,0
161,doctor,17:17,2,118,0
266,doctor,13:58,5,120,0
229,doctor,10:39,3,415,0
63,admin,10:54,1,276,0
45,doctor,19:43,3,401,0
278,doctor,11:54,22,756,1
63,nurse,12:50,4,211,0
284,nurse,17:29,9,3206,1
204,nurse,21:33,18,2377,1
163,nurse,08:28,19,3485,1
283,nurse,11:49,4,311,0
64,nurse,22:09,6,174,0
116,doctor,12:33,3,100,0
283,doctor,11:08,6,215,0
87,nurse,10:10,15,3008,1
42,doctor,07:41,5,195,0
214,nurse,06:31,10,238,0
126,nurse,18:19,9,127,0
213,nurse,21:29,5,264,0
164,nurse,17:25,4,479,0
164,doctor,10:29,1,196,0
26,doctor,11:24,5,274,0
82,doctor,12:59,5,220,0
264,doctor,14:31,3,314,0
